Realm,Area,Mob,Item,Slot,Type,Spell,Level,Damage,Timer,Fumble,Accuracy,Defense,Sigil,SigilLvl,Weight,Notes
Chaos,Doral Straits,large water elemental,crystalized elemental claymore,weapon,slash 2h,,20,good,,,normal,,cold,2,12,
Chaos,Doral Straits,riftwater prowler,manta vertabrae bow,weapon,fired 2h,,20,very good,,,normal,,,,11,
Chaos,Enchanted Woods of Acornak,river reaper,wand of polarity,weapon,direct crush 1h,magnet.force.crush,20,small,,sometimes,normal,,,,3,
Chaos,Fort Darkbane,Allorien foreman,foreman's mace,weapon,offhand crush 1h,,20,good,,rarely,,,,,4,
Chaos,Fort Darkbane,Allorien guard,blessed short sword,weapon,slash 1h,,20,,,,,,shock,2,3,
Chaos,Fort Darkbane,Allorien master smith,thunderous battlehammer,weapon,crush 2h,,20,,,,,,,,15,
Chaos,Fort Darkbane,elven scribe,gleaming purple dagger,weapon,thrust 1h,,20,small,,rarely,,,lightning,1,2,
Chaos,Greater Wailing Woods,baleful curse,rune-etched black staff,weapon,parry staff,direct.enhance.i,20,small,3500,sometimes,normal,normal,,,18,
Chaos,Greater Wailing Woods,baleful curse,cursed greatsword,weapon,direct slash 2h,cursed.blade.ii,20,small,,sometimes,normal,,,,11,
Chaos,Greater Wailing Woods,cadaverous fiend,mighty barbarian's hand axe,weapon,slash 1h,,20,,,,,,,,4,
Chaos,Greater Wailing Woods,ghastly carcass,spectral battlehammer,weapon,crush 2h,,20,,,,,,,,13,
Chaos,Greater Wailing Woods,lesser putrid scarecrow,spider-thread bow,weapon,fired 2h,,20,good,3200,sometimes,normal,,,,10,
Chaos,Greater Wailing Woods,lesser putrid scarecrow,runewood staff of mystic rage,weapon,direct crush 2h,cursed.flame,20,good,,,normal,,,,15,
Chaos,Greater Wailing Woods,plague-ridden skeleton,jagged bone spike,weapon,thrust 2h,,20,very good,,,normal,,,,10,
Chaos,Greater Wailing Woods,,ruiner staff,weapon,parry staff,evade.enhance.i,20,small,,sometimes,normal,much better,,,18,
Chaos,Shores of the Thundermist River,electrified hydra,electrified hydra fang,weapon,thrust 1h,,20,,,,,,lightning,2,7,
Chaos,Shores of the Thundermist River,electrified hydra,arcing greataxe,weapon,slash 2h,,20,very good,,,normal,,lightning,2,14,
Chaos,Shores of the Thundermist River,flaming hydra,flaming hydra fang,weapon,offhand thrust 1h,,20,good,,,normal,,fire,2,6,
Chaos,Shores of the Thundermist River,ice hydra,icy hydra fang,weapon,offhand thrust 1h,,20,good,,,normal,,cold,2,7,
Chaos,Shores of the Thundermist River,protective dryad,mighty barbarian's hand axe,weapon,slash 1h,,20,,,,,,,,4,
Chaos,Shores of the Thundermist River,protective dryad,dryad's focusing spear,weapon,direct thrust 2h,focused.strike.i,20,small,,sometimes,normal,,,,10,
Chaos,Shores of the Thundermist River,shrieking hydra,shrieking hydra fang,weapon,offhand thrust 1h,,20,good,,,normal,,pain,2,5,
Chaos,Shores of the Thundermist River,treant sapling,club of knots,weapon,offhand crush 1h,,20,good,,,worse,,,,6,
Chaos,Shores of the Thundermist River,treant sapling,claws of the animated bark,weapon,claw,,20,small,2500,never,normal,,earth,1,3,
Chaos,Shores of the Thundermist River,water hydra,water hydra fang,weapon,offhand thrust 1h,,20,good,,,normal,,water,2,7,
Event,Christmas 2019,,Ice-plated Greaves of Eternal Winter,legs,plate,strength.ii,20,,,,,,,,19,
Event,Christmas 2019 and 2020,Freshly Animated Snowman,crooked carrot nose,jewel,,constitution.ii,20,,,,,,,,1,
Event,Thanksgiving 2019,,demented turkey staff,weapon,direct crush 2h,turkey.lasers.ii,20,,,,,,fire,,,
Evil,Barrows of Zden,creeping darkness,black slimy hatchet,weapon,direct slash 1h,black.liquid.slash,20,small,,rarely,normal,,,,3,
Evil,Barrows of Zden,crimson mist,ghostly wraith's spiritstaff,weapon,direct crush 2h,ghost.breath,20,small,2800,sometimes,normal,,pain,2,7,
Evil,Barrows of Zden,malice elemental,ghostly wraith's spiritstaff,weapon,direct crush 2h,ghost.breath,20,small,2800,sometimes,normal,,pain,2,7,
Evil,Barrows of Zden,pit horror,warlord's earthshaker,weapon,crush 2h,,20,very good,3700,sometimes,worse,,,,13,
Evil,Barrows of Zden,will o' wisp,electrified sharp shank,weapon,direct thrust 1h,jolt.torso.thrust,20,small,,rarely,normal,,lightning,2,3,
Evil,Class,Coven,rune engraved staff of black wood,weapon,parry staff,,20,good,,,normal,better,,,18,
Evil,Class,Coven,blood etched staff of black wood,weapon,direct crush 2h,cold.ray,20,good,,,normal,,,,10,
Evil,Class,Demon,charred staff of hellfire,weapon,parry staff,,20,small,3500,sometimes,normal,normal,,,18,default bright
Evil,Class,Demon,burning staff of hellfire,weapon,direct crush 2h,heat.ray,20,good,3200,sometimes,normal,,,,10,bright
Evil,Class,Imp,grinning dagger,weapon,thrust 1h,,20,good,,,normal,,,,5,
Evil,Class,Imp,smiling slicer,weapon,slash 1h,,20,good,,,normal,,,,5,
Evil,Class,Imp,beaming baton,weapon,crush 1h,,20,good,,,normal,,,,5,
Evil,Class,Necromancer,polished black stone staff,weapon,parry staff,,20,good,,,normal,better,,,18,
Evil,Class,Necromancer,jagged black stone staff,weapon,direct crush 2h,cold.ray,20,good,,,normal,,,,10,
Evil,Class,Sin,smooth black staff,weapon,parry staff,,20,good,,,normal,better,,,18,
Evil,Class,Sin,knobbly black staff,weapon,direct crush 2h,pain.bolt,20,good,,,normal,,,,10,
Evil,Class,Skeleton,carved mammoth bone hilted claymore,weapon,offhand thrust 2h,,20,good,,,normal,,,,8,
Evil,Class,Skeleton,carved mammoth bone xyston,weapon,offhand slash 2h,,20,good,,,normal,,,,8,
Evil,Class,Skeleton,carved mammoth handled bar mace,weapon,offhand crush 2h,,20,good,,,normal,,,,8,
Evil,Class,Vampire,midnight forged foil of shadows,weapon,thrust 1h,,20,good,,,normal,,,,5,
Evil,Class,Vampire,midnight forged blade of shadows,weapon,slash 1h,,20,good,,,normal,,,,5,
Evil,Class,Vampire,midnight forged scepter of shadows,weapon,crush 1h,,20,good,,,normal,,,,5,
Evil,Class,Werewolf,silk footpads of the stalker,feet,cloth,sneak.enhance.i,20,,,,,much worse,,,4,
Evil,Class,Xionakis,smoldering hellforged spike launcher,weapon,fired 2h,,20,very good,,,normal,,,,12,
Evil,Class,Zombie,Hammer of Decay,weapon,crush 2h,,20,very good,,,normal,,,,12,
Evil,Cursed Woods,deformed ghoul,icy claymore,weapon,slash 2h,,20,good,,sometimes,normal,,cold,2,13,
Evil,Cursed Woods,lesser daemon,ruby encrusted stone staff,weapon,parry staff,hide.enhance.i,20,good,,,normal,better,,,18,
Evil,Cursed Woods,lesser fiend,blood-red mallet,weapon,crush 1h,,20,good,,sometimes,normal,,,,5,
Evil,Cursed Woods,lesser wraith,wraith's haunting hands,weapon,claw,,20,small,2800,never,normal,,pain ,1,4,
Evil,Dark Forest,,dagger of polarity,weapon,direct thrust 1h,Magnet.Force.Thrust,20,small,,rarely,normal,,,,4,
Evil,Great Swamp,giant green newt,waterlogged sea rod,weapon,direct crush 1h,dark.flow.crush,20,small,2600,rarely,normal,,,,3,
Evil,Great Swamp,large kelpie,swampdweller's blade,weapon,slash 2h,stream.of.water,20,small,3200,sometimes,normal,,,,10,
Evil,Great Swamp,large kelpie,water crystal staff,weapon,direct crush 2h,stinging.mist,20,small,3600,sometimes,normal,,water,2,13,
Evil,Great Swamp,lizardman king,blade of the swamp,weapon,slash 1h,,20,good,3500,sometimes,normal,,water,2,7,
Evil,Pine Forest/Tundra,sasquatch,heavy bone crushing maul,weapon,crush 2h,,20,,,,,,,,17,
Evil,Pine Forest/Tundra,warden of the forest,rune-etched black staff,weapon,parry staff,direct.enhance.i,20,small,3500,sometimes,normal,normal,,,18,
Evil,Pine Forest/Tundra,warden of the forest,barbaric great bow,weapon,fired 2h,,20,very good,,sometimes,,,,,19,
Evil,Spider Caves,large glowing spider,spider-etched flail,weapon,offhand crush 2h,,20,good,,,normal,,,,12,
Evil,Spider Caves,large glowing spider,spider-thread bow,weapon,fired 2h,,20,good,3200,sometimes,normal,,,,10,
Evil,Valley of Zden,Nethandra,cobalt short sword,weapon,slash 1h,,20,small,2500,rarely,normal,,lightning,2,3,boss
Evil,Wastes of Olmran,tundra-cat,tundra cat fang,weapon,offhand thrust 1h,,20,small,,rarely,normal,,cold,2,4,
Good,Chui Rainforest,???,flaming beak,weapon,slash 2h,,20,,,,,,fire,,12,
Good,Chui Rainforest,blue-nosed skink,hooked flameblade,weapon,direct slash 2h,fire.burst.ii,20,small,,sometimes,normal,,,,10,
Good,Chui Rainforest,cloud leopard,dirk of the clouds,weapon,thrust 1h,,20,,,,,,lightning,,4,
Good,Chui Rainforest,flaming hornbill,morning star of flame,weapon,offhand crush 1h,,20,good,,sometimes,normal,,fire,2,5,
Good,Chui Rainforest,pygmi headhunter,headhunter's swift spear,weapon,thrust 2h,,20,good,,sometimes,normal,,,,8,
Good,Class,Bard,shortbow of harmonic assault,weapon,fired 2h,,20,good,3500,sometimes,normal,,,,12,
Good,Class,Craftsman,Raven's Beak Spiked Hammer,weapon,offhand thrust 2h,,20,good,,,normal,,,,8,
Good,Class,Craftsman,forge drawn hammer axe,weapon,offhand slash 2h,,20,good,,,normal,,,,8,
Good,Class,Craftsman,metalcrafter's two hand sledge,weapon,offhand crush 2h,,20,good,,,normal,,,,8,
Good,Class,Monk,gold trimmed white white fist pin,jewel,,wisdom.i,20,,,,,,,,1,
Good,Class,Paladin,Holy Knight's Rapier of Truth,weapon,thrust 1h,,20,good,,,normal,,,,5,
Good,Class,Paladin,Holy Knight's Sword of the Sinless,weapon,slash 1h,,20,good,,,normal,,,,5,
Good,Class,Paladin,Holy Knight's Club of Purification,weapon,crush 1h,,20,good,,,normal,,,,5,
Good,Class,Priest,Branch of the Holy Tree,weapon,parry staff,,20,good,,,normal,better,,,18,
Good,Class,Priest,Roots of the Holy Tree,weapon,direct crush 2h,Lightning.Ray,20,good,,,normal,,,,10,
Good,Class,Ranger,Karimere maple composite bow,weapon,fired 2h,,20,very good,,,normal,,,,12,
Good,Class,Rogue,ivory hilted black steel katar,weapon,thrust 1h,,20,good,,,normal,,,,5,
Good,Class,Rogue,ivory hilted black steel blade,weapon,slash 1h,,20,good,,,normal,,,,5,
Good,Class,Rogue,ivory handled black steel bulawa,weapon,crush 1h,,20,good,,,normal,,,,5,
Good,Class,Wizard,philosopher's walking stick,weapon,parry staff,,20,good,,,normal,better,,,18,
Good,Class,Wizard,sophist's walking stick,weapon,direct crush 2h,water.spray,20,good,,,normal,,,,10,
Good,Karimere Timber Forest,emerald forest wyvern,devastating emerald blade,weapon,slash 2h,,20,very good,,often,much better,,,,15,
Good,Karimere Timber Forest,Karimere logger,logger's hatchet,weapon,slash 1h,,20,,,,,,,,3,
Good,Karimere Timber Forest,karimere logger,black slimy switchblade,weapon,direct thrust 1h,black.liquid.thrust,20,small,,rarely,normal,,,,5,
Good,Mausoleum,minor dracolich,staff of brimstone,weapon,direct crush 2h,cursed.flame,20,small,,sometimes,normal,,fire,2,8,
Good,Mausoleum,psychotic vampire,whorled longbow,weapon,fired 2h,,20,very good,4000,sometimes,normal,,,,15,
Good,Medoran Forest,,militia warmace,weapon,crush 2h,,20,very good,,,,,,,14,
Good,Mountain Caves,dark dwarven mageguard,rune-etched black staff,weapon,parry staff,direct.enhance.i,20,small,3500,sometimes,normal,normal,,,18,
Good,Mountain Caves,dark dwarven mageguard,rune-etched moon staff,weapon,direct crush 2h,bolt.of.static,20,small,,never,normal,,shock,2,10,
Good,Mountain Caves,dark dwarven sentry,frosted troll leg demolisher,weapon,crush 2h,,20,,,,,,cold,,17,
Good,Mountain Caves,dark dwarven stonemason,black slimy pole,weapon,direct crush 1h,black.liquid.crush,20,small,,,better,,,,3,
Good,Mountain Caves,giant cave gecko,electrified heavy hammer,weapon,direct crush 1h,jolt.torso.crush,20,small,,sometimes,better,,lightning,2,4,
Good,Myrobi Hills,hill viper,waterlogged sea knife,weapon,direct thrust 1h,dark.flow.thrust,20,small,,sometimes,normal,,,,3,
Good,Myrobi Hills,Myrobi mage,electrified sharp cleaver,weapon,direct slash 1h,jolt.torso.slash,20,small,,sometimes,normal,,lightning,2,3,
Good,"Nogrim, The Deep City",angry miner,massive mining pick,weapon,thrust 2h,,20,,,,,,,,14,
Good,"Nogrim, The Deep City",apprentice stonemover,amethyst dagger,weapon,thrust 1h,,20,,,,,,shock,,2,
Good,"Nogrim, The Deep City",apprentice stonemover,obsidian short bow,weapon,fired 2h,,20,good,3200,sometimes,normal,,earth,2,10,
Good,Straits of Mingo,giant razor-claw lobster,razored lobster claw,weapon,offhand slash 1h,,20,good,,sometimes,normal,,water,2,6,
Good,Straits of Mingo,giant razor-claw lobster,razor-sharp lobster claws,weapon,claw,,20,small,,never,normal,,water,1,3,
Good,Straits of Mingo,psychotic seagull,bloody talon,weapon,thrust 1h,,20,good,,sometimes,normal,,,,7,
Good,Straits of Mingo,wizard outcast,heavy rusted mace,weapon,crush 1h,,20,good,,sometimes,normal,,,,6,
Event,Christmas 2020,frenzied Gingerbread gladiator,candy-cane embossed gingerbread tower shield,shield,plate,evade.enhance.i,22,,,,,,fire,1,33,
Event,Christmas 2020,hulking elf foreman,bell-adourned plush green slippers,feet,cloth,intelligence.ii,22,,,,,much worse,,,3,
Chaos,Abrishamkar Mountains,burly birdman,taskmaster's barbed baton,weapon,direct crush 1h,flame.barb.crush,25,small,,rarely,normal,,,,4,
Chaos,Abrishamkar Mountains,siren,torturer's cane,weapon,direct crush 1h,winter.bite.crush,25,small,,rarely,normal,,pain,2,3,
Chaos,Arachenlair Forest,elderly web weaver,corroded hammer,weapon,offhand crush 1h,,25,good,3200,sometimes,normal,,,,4,
Chaos,Arachenlair Forest,large male wolf spider,jagged blade of chitin,weapon,slash 2h,,25,very good,,sometimes,normal,,,,12,
Chaos,Arachenlair Forest,man-sized jumping spider,sharpened spider-leg spear,weapon,thrust 2h,weapon.poison.iii,25,good,,sometimes,normal,,,,12,
Chaos,Blackwoods,massive troll overseer,Overseer's Impaler,weapon,thrust 2h,,25,very good,,sometimes,better,,earth,3,12,boss
Chaos,Blackwoods,undead ettin,darkwood dagger,weapon,thrust 1h,,25,good,,,better,,earth,2,4,
Chaos,Cavern of Roots,dande-lion,foul bronze bludgeon,weapon,crush 1h,,25,,,,,,,,7,
Chaos,Cavern of Roots,dande-lion,knuckles of thorns,weapon,claw,,25,small,3000,never,normal,,earth,2,5,
Chaos,Cavern of Roots,dande-lioness,forked thistle blade,weapon,slash 1h,weapon.bleed.iii,25,,,,,,,,4,
Chaos,Cavern of Roots,dande-lioness,translucent great bow,weapon,fired 2h,,25,very good,,,better,,,,14,
Chaos,Curdled Blood Marsh,noxious dragon's fly,one-handed flesh carver,weapon,slash 1h,,25,,,,,,,,3,
Chaos,Curdled Blood Marsh,wilted blood lotus,crimson staff of dark rituals,weapon,direct crush 2h,intense.pain,25,small,2900,sometimes,normal,,,,7,
Chaos,Doral Straits,enormous doral squid,blade of petrified coral,weapon,offhand slash 1h,,25,good,,rarely,,,shock,2,4,
Chaos,Doral Straits,frantic reef shark,Doral driftwood staff,weapon,direct crush 2h,liquid.dart,25,,,,,,,,11,
Chaos,Doral Straits,huge startled brown stingray,giant stinger,weapon,offhand thrust 1h,,25,small,,rarely,,,,,3,
Chaos,Doral Straits,huge startled brown stingray,doral greatspear,weapon,direct thrust 2h,chaos.thrust.ii,25,small,,sometimes,normal,,,,11,
Chaos,Doral Straits,huge startled brown stingray,Doral driftwood staff,weapon,direct crush 2h,liquid.dart,25,,,,,,,,11,
Chaos,Fort Darkbane,Allorien lancer,contaminated scalpel,weapon,direct thrust 1h,grease.splash.thrust,25,small,,rarely,normal,,,,3,
Chaos,Fort Darkbane,Allorien sergeant,heartwood composite bow,weapon,fired 2h,,25,very good,,,better,,,,10,
Chaos,Fort Darkbane,elven wizard,staff of petrified wood,weapon,direct crush 2h,glacial.spike,25,good,,sometimes,,,,,11,
Chaos,Greater Wailing Woods,greater putrid scarecrow,unearthly voodoo staff,weapon,direct crush 2h,infernal.torrent,25,small,,,normal,,,,10,
Chaos,Shores of the Thundermist River,lumbering treant,treant's arm,weapon,crush 2h,,25,very good,,,normal,,,,12,
Chaos,Shores of the Thundermist River,treant sapling,slippery kitchen cleaver,weapon,direct slash 1h,grease.splash.slash,25,small,,rarely,normal,,,,3,
Chaos,Shores of the Thundermist River,two-headed hydra,two-headed hydra fang flail,weapon,offhand crush 2h,,25,very good,,,normal,,,,12,
Evil,Barrows of Zden,gathered shadows,torturer's sabre,weapon,direct slash 1h,winter.bite.slash,25,small,,sometimes,normal,,pain,2,6,
Evil,Barrows of Zden,pale spectre,torturer's sabre,weapon,direct slash 1h,winter.bite.slash,25,small,,never,normal,,pain,2,6,
Evil,Cerulean Lakes,air elemental,spire of thunder,weapon,direct crush 2h,spire.of.thunder,25,small,2800,sometimes,normal,,lightning,2,7,
Evil,Cerulean Lakes,fire elemental,elemental's tail,weapon,offhand slash 1h,,25,good,,rarely,,,fire,2,4,
Evil,Cerulean Lakes,fire elemental,blazing fists,weapon,claw,,25,small,2500,never,better,,fire,2,3,
Evil,Cerulean Lakes,ice elemental,icy halberd,weapon,thrust 2h,,25,good,3300,sometimes,normal,,cold,2,10,
Evil,Cerulean Lakes,spirit of the trees,possessed emberwood staff,weapon,parry staff,sneak.enhance.i,25,,,,,,,,18,
Evil,Cerulean Lakes,spirit of the trees,darkened warpwood crossbow,weapon,fired 2h,,25,,,,,,,,16,
Evil,Cerulean Lakes,spirit of the trees,tainted twig of twilight,weapon,direct crush 2h,charged.staff,25,small,2800,sometimes,normal,,,,7,
Evil,Cerulean Lakes,translucent ice worm,arctic hollspark hammer,weapon,crush 2h,,25,good,,sometimes,normal,,lightning,2,10,
Evil,Cursed Woods,deformed ghoul,short lance of tormented visions,weapon,direct thrust 1h,calamity.vision.thrust,25,small,,rarely,normal,,,,4,
Evil,Cursed Woods,mounted demon knight,sacrificial dagger,weapon,thrust 1h,,25,good,,rarely,better,,,,4,
Evil,Cursed Woods,skeletal hero,black metal marauder's axe,weapon,slash 2h,,25,,,,,,,,12,
Evil,Lord Garon's Keep,common orc,orcish longknife,weapon,slash 1h,,25,,,,,,,,2,
Evil,Pine Forest/Tundra,massive muskox,sword of tormented visions,weapon,direct slash 1h,calamity.vision.slash,25,small,2500,rarely,normal,,,,3,
Evil,Snarewoods,elderly web weaver,corroded hammer,weapon,offhand crush 1h,,25,good,3200,sometimes,normal,,,,4,
Evil,Snarewoods,large male wolf spider,jagged blade of chitin,weapon,slash 2h,,25,very good,,sometimes,normal,,,,12,
Evil,Snarewoods,man-sized jumping spider,sharpened spider-leg spear,weapon,thrust 2h,weapon.poison.iii,25,good,,sometimes,normal,,,,12,
Evil,Spider Caves,large glowing spider,glass filled rolling pin,weapon,direct crush 1h,grease.splash.crush,25,small,,rarely,normal,,,,3,
Evil,Wastes of Olmran,greater worg,skull of an ogre,weapon,offhand crush 1h,,25,good,2900,rarely,normal,,,,5,
Evil,Wastes of Olmran,wolf-rider,mercenary's bone-cracker,weapon,offhand crush 2h,,25,good,3900,sometimes,normal,,,,15,
Good,Chui Rainforest,elusive nymph of the waterfall,whispering staff of the waterfall,weapon,direct crush 2h,waterfall,25,small,3000,sometimes,normal,,water,3,8,boss
Good,Chui Rainforest,mist druid,finely-crafted golden elven spear,weapon,thrust 2h,,25,good,,sometimes,better,,,,10,
Good,Chui Rainforest,mist druid,spear of the mists,weapon,direct thrust 2h,mist.strike.ii,25,small,,sometimes,normal,,,,10,
Good,Chui Rainforest,pygmy medicine man,dark dagger,weapon,thrust 1h,,25,,,,,,,,2,
Good,Chui Rainforest,translucent water nymph,fists of the lake,weapon,offhand crush 2h,,25,,,,,,water,,6,
Good,Cverick's Tower,bael spirit,dull blue hammer,weapon,crush 1h,,25,good,,sometimes,normal,,,,8,
Good,Cverick's Tower,neophyte lich,vile greatstaff,weapon,direct crush 2h,shadow.staff,25,small,,sometimes,normal,,pain,2,13,
Good,Cverick's Tower,translucent ghost hound,ghost hound tooth,weapon,offhand thrust 1h,,25,good,,rarely,normal,,cold,2,4,
Good,Cverick's Tower,translucent ghost hound,claws of the crypt,weapon,claw,,25,small,,never,normal,,cold,2,4,
Good,Evermist Knolls,arcane giant,well-crafted guillotine axe,weapon,slash 1h,,25,good,,sometimes,normal,,,,7,
Good,Evermist Knolls,arcane giant,titan's crossbow,weapon,fired 2h,,25,amazing,4500,sometimes,normal,,,,19,
Good,Evermist Knolls,fog giant,titan's crossbow,weapon,fired 2h,,25,amazing,4500,sometimes,normal,,,,19,
Good,Evermist Knolls,frost dragon,enchanted dragon bone,weapon,offhand crush 2h,,25,good,,sometimes,better,,,,10,
Good,Evermist Knolls,mist giant,titan's crossbow,weapon,fired 2h,,25,amazing,4500,sometimes,normal,,,,19,
Good,Mausoleum,bael elf assassin,bael blade,weapon,offhand slash 1h,weapon.poison.ii,25,small,,rarely,normal,,,,3,
Good,Mausoleum,lord death knight,torturer's pricker,weapon,direct thrust 1h,winter.bite.thrust,25,small,,rarely,normal,,pain,2,3,
Good,Mausoleum,major dracolich,dracolich great hammer,weapon,crush 2h,,25,very good,,sometimes,better,,fire,,14,
Good,Mausoleum,neuromancer,staff of a bone-magi,weapon,parry staff,wisdom.i,25,good,,sometimes,normal,normal,,,18,
Good,Medoran Forest,verdant-mottled adult ettin,shortstaff of tormented visions,weapon,direct crush 1h,calamity.vision.crush,25,small,,rarely,normal,,,,5,
Good,"Nogrim, The Deep City",dark dwarven berzerker,darksteel great hammer,weapon,crush 2h,,25,,,,,,,,12,
Good,"Nogrim, The Deep City",dark dwarven spellblade,sparking short sword,weapon,offhand slash 1h,,25,,,,,,shock,,4,
Good,"Nogrim, The Deep City",dark dwarven spellblade,wave sword,weapon,offhand slash 1h,,25,,,,,,water,,2,
Good,"Nogrim, The Deep City",master stonemover,spire of stone crushing,weapon,direct crush 2h,stone.crush,25,good,,,normal,,earth,2,14,
Good,Straits of Mingo,Red Legion deserter,worn oar,weapon,parry staff,sneak.enhance.i,25,good,,never,normal,normal,,,18,
Good,Straits of Mingo,wizard outcast,staff of petrified wood,weapon,direct crush 2h,glacial.spike,25,,,,,,,,10,
Good,Terandhel,gnoll archer,marksman's great bow,weapon,fired 2h,,25,very good,,never,much better,,,,15,
Good,Terandhel,goblin sapper,chimaeran longsword,weapon,offhand slash 1h,,25,good,,rarely,normal,,,,4,
Good,Terandhel,weathered mecenary,mercenary's greatsword,weapon,slash 2h,,25,very good,,sometimes,normal,,,,14,
Good,Venomvein Timberland,elderly web weaver,corroded hammer,weapon,offhand crush 1h,,25,good,3200,sometimes,normal,,,,4,
Good,Venomvein Timberland,great hissing spider,warped hissing blade,weapon,direct slash 2h,hissing.blade.ii,25,small,,sometimes,normal,,,,9,
Good,Venomvein Timberland,large male wolf spider,jagged blade of chitin,weapon,slash 2h,,25,very good,,sometimes,normal,,,,12,
Good,Venomvein Timberland,man-sized jumping spider,sharpened spider-leg spear,weapon,thrust 2h,weapon.poison.iii,25,good,,sometimes,normal,,,,12,
Event,Christmas 2019 and 2020,hulking elf foreman,twisted sprig of mistletoe,weapon,direct crush 2h,frost.stream,28,good,2600,sometimes,normal,,,,5,
Event,Christmas 2019 and 2020,hulking elf foreman,giant toymaker's hammer,weapon,crush 2h,,28,,,,,,water,2,14,
Event,Christmas 2019 and 2020,tiny gingerbread assassin,hand-cranked gingerbread crossbow,weapon,fired 2h,,28,,,,,,fire,2,12,
Chaos,Arachenlair Forest,chitin-shelled scarab,chitin-studded jacket,body,studded,strength.i,30,,,,,normal,fire,1,16,
Chaos,Arachenlair Forest,chitin-shelled scarab,thin chitin buckler,shield,leather,regenerate.i,30,,,,,,,,12,
Chaos,Arachenlair Forest,chitin-shelled scarab,Dur'mulian scarab,jewel,,regenerate.i,30,,,,,,,,1,
Chaos,Arachenlair Forest,enourmous female wolf spider,raging lanate hammer,weapon,offhand crush 1h,,30,good,3300,sometimes,normal,,,,6,
Chaos,Arachenlair Forest,enourmous female wolf spider,sparkling spider-shaped broach,jewel,,protect.iii,30,,,,,,,,1,
Chaos,Arachenlair Forest,fully-grown black widow,widow's pike,weapon,thrust 2h,,30,very good,,,better,,pain,2,10,
Chaos,Arachenlair Forest,fully-grown black widow,petrified spiderweave gauntlets,hands,plate,tough.skin.i,30,,,,,normal,,,14,
Chaos,Arachenlair Forest,fully-grown black widow,arcane spidersilk boots,feet,cloth,wisdom.i,30,,,,,normal,,,4,
Chaos,Arachenlair Forest,gargantuan tarantula,steady spiderwave leather boots,feet,leather,blur.iii,30,,,,,normal,,,6,
Chaos,Arachenlair Forest,gargantuan tarantula,fine black silk cape,cloak,cloth,vitalize.i,30,,,,,normal,,,2,
Chaos,Blackwoods,ogre enchanter,rune-shod pike,weapon,thrust 2h,flame.eruption.ii,30,small,,sometimes,normal,,,,10,
Chaos,Blackwoods,ogre enchanter,exalted wanderer's cape,cloak,studded,wisdom.i,30,,,,,normal,,,7,
Chaos,Blackwoods,ogre enchanter,runed gloves of violence,hands,studded,mark.enhance.i,30,,,,,normal,fire,1,9,
Chaos,Blackwoods,ogre enchanter,ogre-knight's tempered kickers,feet,plate,evade.enhance.i,30,,,,,normal,lightning,1,14,
Chaos,Blackwoods,ogre enchanter,mage leggings of mist walking,legs,cloth,evade.enhance.i,30,,,,,worse,cold,1,6,
Chaos,Blackwoods,twisted rock troll,"twisted, blackened staff",weapon,parry staff,combat.i,30,good,,,normal,much better,,,18,
Chaos,Blackwoods,twisted rock troll,banded wolf's boots,feet,leather,constitution.i,30,,,,,normal,,,6,
Chaos,Blackwoods,twisted rock troll,blood splattering maul,weapon,crush 2h,,30,,,,,,,,14,
Chaos,Cavern of Roots,death vine,stone-dusted studded helm,head,studded,shield.iii,30,,,,,normal,,,9,
Chaos,Cavern of Roots,death vine,breastplate of tainted earth,body,plate,minor.earth.protect,30,,,,,,,,23,
Chaos,Cavern of Roots,death vine,perfectly woven boots,feet,cloth,vitalize.i,30,,,,,,,,4,
Chaos,Cavern of Roots,root of evil,charred black leather armor,body,leather,shield.iii,30,,,,,,,,12,
Chaos,Cavern of Roots,root of evil,midnight spider maul,weapon,crush 1h,poison.ii,30,,,,,,,,5,
Chaos,Cavern of Roots,slimy sodwyrm,screeching fire bow,weapon,fired 2h,,30,,,,,,fire,3,10,
Chaos,Cavern of Roots,slimy sodwyrm,shroud of ironskin,cloak,cloth,shield.iii,30,,,,,,,,2,
Chaos,Cavern of Roots,swarm of root weevils,darkwood studded treads,feet,studded,dexterity.i,30,,,,,normal,,,9,
Chaos,Cavern of Roots,swarm of root weevils,gauntlets of the swarm,hands,plate,melee.enhance.i,30,,,,,,,,14,
Chaos,Cavern of Roots,swarm of root weevils,bloodsurged necklace of obscurity,jewel,,hide.enhance.i,30,,,,,,fire,1,1,
Chaos,Cavern of Roots,venus man trap,pair of lost pathfinder boots,feet,plate,blur.iii,30,,,,,,,firefly,14,
Chaos,Cavern of Roots,venus man trap,living-root buckler,shield,leather,minor.earth.protect,30,,,,,normal,,,12,
Chaos,Cavern of Roots,venus man trap,pair of old dirty magic gloves,hands,cloth,regenerate.i,30,,,,,,,,4,
Chaos,Caverns of Gaggsith,grinning imp demon,gore splattered imp skull,jewel,,combat.i,30,,,,,,,,1,
Chaos,Curdled Blood Marsh,baleful blood salamander,wavering marsh headgear,head,leather,evade.enhance.i,30,,,,,,,,6,
Chaos,Curdled Blood Marsh,baleful blood salamander,legionnaire cloth cap,head,cloth,dexterity.i,30,,,,,normal,,,4,
Chaos,Curdled Blood Marsh,berzerk leeching vine,two-handed marsh axe,weapon,slash 2h,,30,,,,,,water,3,14,
